,Real Location,Type,Price(Cr),Bath(s),Area(Marla),Bedroom(s),Location,Description,Amenities: Main Features,Amenities: Rooms,Amenities: Business and Communication,Amenities: Community Features,Amenities: Healthcare Recreational,Amenities: Nearby Locations and Other Facilities,Amenities: Other Facilities
951,"G-14/4, G-14",House,5.25,6,5.0,4,G-14,"5 Marla (25*50) House For sale Located At Prime Location Of G-14/4 About the Property: 4 Bedrooms 6 Washrooms 2 Drawing Dining 2 Kitchens 2 TV Lounge Powder Room 1Servant Quarter With attached Washroom Car Parking Tile Flooring Green Lawn Double Unit House ideal Locality Electricity Available Water Boring Running & also Water Supply Facility available All Facilities Are Available Which Is The Need OF Living Very Near to Main Double Road and Kashmir Highway Very Near to School, College, Market, Masjid Park Gym Located in one of the best locations of G-14/4 Reply Islamabad","Built in year, Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup","Bedrooms: 4, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre",,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service",
952,"Jinnah Gardens, FECHS",House,2.0,3,5.0,3,FECHS,"Must Read Description : Plot Size: 5 Marla Storeys: 1.5 Storey (Not Full Double Storey) Bedrooms: 3 (2 On Ground Floor, 1 On First Floor) Bathrooms: 3 TV Lounge: 1 Drawing Room: 1 Kitchen: 1 Car Parking: 1 Water: Available Electricity: Available Street Width: 40 Ft Wide Street Status: Non-LOP Status: Ready To Possess Paperwork Completed Year Built: 2025 (Completed Just 2 Days Ago Brand New) Condition: Unused, Freshly Built House Location: Proper Jinnah Garden, Heighted Prime Location With Excellent View Demand: 1.90 Crore (Price Slightly Negotiable) Key Highlights: A Brand New 1.5 Storey House, Just Completed In 2025, Located In A Heighted Prime Block Of Jinnah Garden. Solid Construction, Modern Finishing, With All Utilities Available. Non-LOP Plot, Ready To Possess With Complete Paperwork. A Beautiful Option For Families At A Very Reasonable And Negotiable Price. Contact Now For Visit And Final Deal.","Built in year: 2025, Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Furnished","Bedrooms: 3, Bathrooms: 3, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Intercom","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre",,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled"
953,"Top City 1, Islamabad",House,4.85,5,10.0,5,Top City 1,10 Marla Brand New House for Sale Available Solid Construction. . . Block A Prime location Best for Residence best for Best incoming rent best for future investment 5 Bedrooms attached Bathroom Separate Kitchens luxury Drawing room Contact us for More information,"Built in year: 1, Parking Spaces: 2, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Bedrooms: 5, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities"
954,"Faisal Margalla City, B-17",House,4.0,-,7.0,-,B-17,"To fulfill your search for a property in Faisal Margalla City, here's what we have. You can book your unit for sale today without a worry. Buying a 7 Marla property is a good option to live comfortably. Your family will later thank you for investing in the House. Islamabad is developing at a fast pace and this property is located at an ideal spot in Islamabad. Centrally-located unit at a price of PKR Rs. 40000000 is quite a good deal to consider. Find out more details about the property with the following. Laundry room in the House provides a dedicated space for washing clothes. Rising temperatures can be detrimental to health but indoors you can stay safe with central air-conditioning that is part of the House. You can easily conduct your meetings in the study room that comes with the House. Double-glazed windows in your House can help reduce energy costs. One of the many great features of the property is its powder room. Stay cozy in your home due to the central heating system. You can work out at the gym within premises to make up for the physical activity lag created by the urban life. Our contact information is made available so you can reach us with all your queries.","Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Furnished","Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Other Business and Communication Facilities","Mosque, Other Community Facilities",Other Healthcare and Recreation Facilities,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Other Facilities"
955,"Faisal Hills - Executive Block, Faisal Hills",House,2.0,-,5.0,-,Faisal Hills,"PKR Rs. 20000000 is the best price for property right now, so hurry up before it is too late. You cannot find a better deal than this for House available at a busy and central location. We have the best deal on offer for 5 Marla House you can purchase at current market situation. It is now time to book your House in Faisal Hills - Executive Block, Taxila. Buy a property today to secure your family's future. The properties in Faisal Hills - Executive Block will reap great benefits in the future. A few highlighting features of the property are as follows. Having a prayer room in the House, lets you pray peacefully and conveniently. A central heating system in the House is convenient for everyone to operate. Laundry room in the House provides a dedicated space for washing clothes. You can easily host a 3-course dinner party in this large dining room that comes with this House. Having a mosque nearby is a blessing and you can conveniently reach it in a few minutes. Central air conditioning in the House can save you from the outside heat. A steam room is beneficial for health and the House comes with one! Call us today to book your House.","Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Furnished","Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Other Business and Communication Facilities","Mosque, Other Community Facilities",Other Healthcare and Recreation Facilities,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Other Facilities"
956,"Faisal Margalla City, B-17",House,2.3,-,5.0,-,B-17,FMC. 5 marla. Double Story. Near to Masjid and Markaz. Demand 2.30 crore .,"Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Furnished","Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Other Business and Communication Facilities","Mosque, Other Community Facilities",Other Healthcare and Recreation Facilities,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Other Facilities"
957,"MPCHS - Block C1, MPCHS - Multi Gardens",House,2.3,-,5.0,-,B-17,"All the important amenities and facilities are made available in MPCHS - Block C1. It's high time to move to Islamabad with tonnes of new opportunities. The House is a truly well-thought out property, best for those with a fine taste in architectures. Price of PKR Rs. 23000000 is reasonable for property at this location. This 5 Marla sized property will prove to be the perfect space for you to invest some (or all) of your future in. Just know that a purchasing opportunity like this doesn't come easy! Some of the prominent features of this property are as follows. You can work out at the gym within premises to make up for the physical activity lag created by the urban life. The House has a prayer room as well, which you can utilize any way you like. This House comes with a spacious drawing room to seat your special guests. Relax in the lounge/ sitting room after a long day and spend quality time with your family. Double glazed windows in the House maintain the temperature inside and give beautiful views of the outside. This project features broadband internet access among other facilities. Stay healthy and warm indoors during winters with the central heating system in your House. For further correspondence about the property, you can fill the form and we'll get in touch.","Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Furnished","Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room","Broadband Internet Access, Satellite or Cable TV Ready, Other Business and Communication Facilities","Mosque, Other Community Facilities",Other Healthcare and Recreation Facilities,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Other Facilities"
958,"Faisal Margalla City, B-17",House,2.5,-,5.0,-,B-17,"FMC . 5 marla house . Double heighted. Near to Masjid, park, Markaz. All facilities available. Demand 2.30 crore .","Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors, Furnished","Bathrooms: 02, Drawing Room, Dining Room, Kitchens: 01, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Other Business and Communication Facilities","Mosque, Other Community Facilities",Other Healthcare and Recreation Facilities,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Other Facilities"
959,"B-17, Islamabad",House,3.3,5,7.0,4,B-17,"Very prime location house for sale near to main markaz and school etc The House enjoys the ideal location of B-17 with notable landmarks nearby. The city of B-17 offers it all; the culture, the opportunities and a coveted suburban backdrop. Your search for properties sized 7 Square Meters is now over! Go through this listing. In B-17, you can find your dream property like this at the click of a button. You can expand your investment portfolio or satisfy your wish for a piece of real estate by buying this property as it has both qualities at the same time- the lucrative and worth keeping. The ideal place for family living made available at only Rs. 33000000. You can read the property features below. Having a washing area in the home is a great plus and this House gives you that. A separate dining room in this property keeps the mealtime clutter contained in one space. The House has a steam room that is great for you to de-stress and detox. You can decorate the expansive lounge area any way you like that comes with this property. An adjoining drawing room also comes with the property to complete your home. You can relax and not worry about furniture as the House comes fully furnished. Cleanliness is ensured at all times through an effective waste disposal system. Our contact information is available for you to take action today.","Built in year: 2025, Parking Spaces, Flooring, Electricity Backup, Waste Disposal, Floors, Other Main Features, Furnished","Bedrooms: 4, Bathrooms: 5, Servant Quarters, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities",Other Healthcare and Recreation Facilities,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Security Staff, Other Facilities"
960,"D-12, Islamabad",House,14.5,6,14.0,7,D-12,Short Corner Brand New Double Story House Is Available For Sale In D-12/2 Islamabad Size (4080) 14 Marla Oregnal Pictures And Video Are Upload 7 Bedroom With Attach Bath Drawing Dining With Powder Room 2 Tv Lounge 2 Kitchen Servent Room With Front Side Beautiful Huge Terrace Margalla Hills View Fully Tille Flooring Ideal And Peacefull Location Nice House More Details Please Contact Us,"Built in year: 2025, Parking Spaces: 2, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Bedrooms: 7, Bathrooms: 7, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities"
961,"D-12, Islamabad",House,28.5,6,20.0,8,D-12,Brand Ne 3 Story With Besment House Is Available For Sale In D-12/2 Islamabad Size (5090) 1 Kanal Oregnal Pictures And Video Are Upload Solar Installed In Full House 8 Bedroom With Attach Bath Drawing Dining With Powder Room 2 Tv Lounge 2 Kitchen And 1 Derty Kitchen Servent Room With Bath Besment Sweming Pool And Huge Hall Front Side Beautiful Huge Terrace Margalla Hills View Fully Tille Flooring Ideal And Peacefull Location Nice House More Details Please Contact Us,"Built in year: 2025, Parking Spaces: 3, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 3, Other Main Features, Furnished","Bedrooms: 8, Bathrooms: 10, Servant Quarters: 0, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities",Other Healthcare and Recreation Facilities,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service",
962,"D-12, Islamabad",House,12.0,6,10.0,6,D-12,BEAUTIFUL LOCATION BRAND NEW HOUSE SOLID CONSTRUCTION FRONT OPEN MODERN DESIGN BEST OPTION FOR RESIDENT,"Built in year: 2025, Parking Spaces: 2, Double Glazed Windows, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features","Bedrooms: 6, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Store Rooms: 1, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities"
963,"E-11, Islamabad",House,8.5,6,10.0,5,E-11,BEAUTIFUL LOCATION BEST OPTION FOR RESIDENT NEAR TO MARKET NEAR TO MASJID NEAR TO DOUBLE ROAD NEAR TO SCHOOL,"Built in year: 2022, Parking Spaces: 2, Double Glazed Windows, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features","Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities"
964,"D-12, Islamabad",House,9.0,5,8.0,5,D-12,BEAUTIFUL LOCATION BRAND NEW HOUSE SOLID CONSTRUCTION NEAR TO MARKAZ NEAR TO PARK NEAR TO MASJID EASY APPROACH MAIN DOUBLE ROAD,"Built in year: 2025, Parking Spaces: 2, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Bedrooms: 4, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities"
965,"Top City 1 - Block K, Top City 1",Flat,1.8,1,4.3,1,Top City 1,"Real estate prices fluctuate really quick so be wise to book your property at PKR Rs. 18000000, as it is the best price on offer considering previous data. The current market conditions makes the deal fairly attractive for buyers eyeing property in Islamabad. For those of you who are interested, Top City 1 - Block K is offering a lucrative opportunity of investment. This property will prove to be the best investment opportunity for you. 964 Square Feet properties are best for investment as well as living purposes. Whatever kind of Flat you are looking for, you are in the right place to find it. Find out the basic features of the property below. The security staff will be available round the clock to ensure that residents can lead a peaceful life. The spacious lawn in the Flat serves to be a kids play area while ensuring the safety of your kids. The Flat has a mosque located at a walking distance from it. The nearby community lawn is a great place to interact with neighbours and enjoy nature. You won't have to worry about lifting your goods to your floor, as the building facilities includes a service elevator for that purpose. Give your formal clothes for dry cleaning to the dry cleaning facility nearby. The central heating system in the Flat keeps it cozy and warm inside. All your queries concerned with this property are welcome, so please contact us.","Built in year: 2025, Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 3, Floors in Building: 8, Elevators: 2, Service Elevators in Building, Other Main Features","Bedrooms: 1, Bathrooms: 1, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Communal/Shared Kitchen, Facilities for Disabled, Other Facilities"
966,"G-16/4, G-16",House,6.0,6,12.4,6,G-16,"35X80 12MARLA House for sale in G-16/4 Street 27 with electricity and Gas also available 10Kva Solar installed, Electricity bill with full use of AC is in Minus (250000), Green Meter Installed Water Boring Available and Water Supply also available Gas Meter is Installed CDA sector","Built in year: 2022, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Bedrooms: 6, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities"
967,"F-6, Islamabad",House,45.0,5,42.0,4,F-6,"Attached Images are just for reference purpose only. Chohan HAY Estate Offers: - Approx. 1066 SQYD - CDA Transfer - Old Demolishable House - Investor Price - Great Time to Invest in Real Estate - Beat Option to Build Your Dream Home in F-6 - Peaceful and Secured Living Area - Dont Waste Your Time, Just Grab this Opportunity For more information and additional options, kindly contact at mentioned numbers or visit Chohan HAY Estate","Built in year: 2023, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished","Bedrooms: 4, Bathrooms: 5, Servant Quarters, Drawing Room, Dining Room, Kitchens, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Lawn or Garden, Swimming Pool, Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Facilities for Disabled, Other Facilities"
968,"Top City 1, Islamabad",Flat,1.4,2,5.5,2,Top City 1,ideal location brand new Residential plaza 2bed +2both 1-stor 1-tv lonch 1 kitchen electricity available security 24 hours 3-lifets Masjid Top City-1 Time Square Residence Proper Residential Apartment's Building 24/7 Security 3 Lifts installed Car Parking 2 Bed's Apartment 1250 SQF with wide Lounge & kitchen is available for sale On very reasonable price Best profitable & secure investment,"Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 7, Floors in Building: 9, Elevators: 3, Service Elevators in Building, Other Main Features","Bedrooms: 2, Bathrooms: 3, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Communal/Shared Kitchen, Facilities for Disabled"
969,"G-11, Islamabad",Flat,3.3,2,8.0,2,G-11,proper corner front facing sun facing 2bed with attached washrooms lounge Drawing rental value 135k fully furnished car parking available full proof security all basic facilities are available,"Built in year: 2025, Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 20, Floors in Building: 25, Elevators: 4, Service Elevators in Building, Other Main Features, Furnished","Bedrooms: 2, Bathrooms: 2, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Communal/Shared Kitchen, Facilities for Disabled, Other Facilities"
970,"Capital Residencia, Margalla Hills-2",Flat,2.1,3,7.6,3,E-11,"Capital Residencia is building the future of luxury living in style. Imagine a lifestyle special that exceeds imagination, with luxurious apartments at the Capital Residencia, theres nothing short of inspiration and harmony. Living in Islamabad within an eco-friendly ambiance and experiencing the absolute luxury lifestyle is no more a dream. You can live your life in style within the verdant foliage, amazing parks, and the landscaped lawns. Designed to be a distinctive and prominent architectural landmark in the capital city, the soaring ten-story structure consists of luxury apartments. The unique contemporary form and sophisticated styling of the facade will set a new benchmark for the design of buildings in the federal capital. A Modern, elegant exterior and an interior with cutting-edge styling, that use a mixture of glass and both natural and artificial finishes set the tone for a new way of living. Capital Residencia is the next generation of property development offering the very best of dynamic community living, rising above the lush green surroundings in complete harmony with the spectacular environment. Come home to Capital Residencia. Go ahead; experience a radiant lifestyle, the Capital Residencia lifestyle. The colors are vibrant, the style is harmonious. Indulge yourself in the dynamic community living. Look at some of the unique features: Central Heating System. CCTV Cameras. Earthquake resistant structure. Reverse Osmosis Plant. Grand Entrance with trained Security staff. Reception Lobby. Dedicated Mail Box. 12 High speed . Convenient Garbage . Stand-by Power Generator. Complete Privacy. Basement plus 2 floors Car Parking. Recreational Facilities. State-of-the-art Club-House. Swimming Pool. Community Center. Children Play Area. Central Landscaped Courtyard. FEATURES CCTV Monitoring. Community Center. Elevators Masjid. Park. Standby Generator.","Built in year: 2020, Parking Spaces: 1, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 1, Floors in Building: 15, Elevators: 2, Service Elevators in Building, Other Main Features, Furnished","Bedrooms: 3, Bathrooms: 3, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room, Gym, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms","Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities","Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities","Sauna, Jacuzzi, Other Healthcare and Recreation Facilities","Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","Maintenance Staff, Security Staff, Laundry or Dry Cleaning Facility, Communal/Shared Kitchen, Facilities for Disabled, Pets Not Allowed, Other Facilities"
